,Nombre,Precio,Enlace
10,"Brand New Apple iPhone 13 - 128GB - Midnight  (AT&T, Cricket, H2O) A2482",S/. 2 516.34,https://www.ebay.com/itm/195294934701?epid=3049291507&hash=item2d787c36ad:g:V5gAAOSwQJli7Zqx&amdata=enc%3AAQAHAAAAoBEb5Yw4WweeX%2BeUKzy1POcp6m1vdcF6%2BOdieNYR1KMHUUTR%2BsK58FA4j1qBnHcVTe8Zx3dkPTFtdTEK%2BngoNVkn%2B9MtUeP067Re8nZ%2FJPz2wIMgGjmKvLOYYBJ80bwpUzSBwl8OLDqxbancS10Pd4ojumoVGkAti5uB5B8THooU1gnA4vfJNU%2B7Ur4bgiwH8M3VkSlds0o%2F9JaIAGFmq84%3D%7Ctkp%3ABk9SR9rZlaLsYA
11,Apple iPhone 13 - 128GB - Midnight (Unlocked),S/. 2 921.48,https://www.ebay.com/itm/144721009437?epid=5049289956&hash=item21b20b5b1d:g:Am0AAOSw3vxhQhsT&amdata=enc%3AAQAHAAAAoDWpe7MzO%2FG%2F%2BRAe7DKRJVr%2B1%2F%2BhjPoU9MQbhd2GH0HQNyP8GtqEml78XZKgVvSf2UcrkiYc3xuubQBdySjOngdMHoy291ohyZFZXxnUJb7RXMOHMIZ97IzwhJyAeGhYCLMkAeXHQSRhwH8abUudO4rT8%2FxyTeYgbbawVtsSwCJpcEiMR4%2BOPC8g0DdtpO5cZpV%2BybKkOCd9%2FBv1VlCuz%2BI%3D%7Ctkp%3ABk9SR9rZlaLsYA
12,Apple iPhone 13 Pro Max 512GB Alpine Green Unlocked Excellent Condition,S/. 4 330.40,https://www.ebay.com/itm/284906394420?epid=11052764817&hash=item4255be9334:g:I44AAOSwhAZi2uoD&amdata=enc%3AAQAHAAAA4J59lZf0wEv9Y764VQ9I7tEIgcS5ktwm5zbh4S2PPUm5oRl%2Bqwtx5LFXrsbNMPaBx0iY0sytSEwC%2BTZf6gGXikO8fWLQfuWAMEQzCBEeyevSs5TQoogHlC%2FPo%2BH6iUWkauAuKepax8cNELMVjC1EbAjJ4%2By3LsZtb7ycfr%2FEHiPJzSI3eZtE5vOQgD9muCDcdy7HiFWzaP%2F1wJZVLqLyiRq9gX5TZ3ZuJdTJQz1ZTLqbN4aVMeT3oj8Kca%2FnT92QHYvTYEHZkI3Wt0YObpRBjqEvv0%2FTPrN%2FRwRt404u7N5a%7Ctkp%3ABk9SR9rZlaLsYA
13,Apple iPhone 13 Pro 128/256/512GB/1TB AT&T Sprint TMobile Unlocked VZW Very Good,S/. 2 652.84 a S/. 4 096.32,https://www.ebay.com/itm/294493419351?epid=7049287454&hash=item44912cf757:g:TccAAOSwRSJii-TM&amdata=enc%3AAQAHAAAA4DkpHkun9s%2B252tdaQrOoOJjmYQ%2BnV52SBSyEDxs6rBLxDtIaWH72hXedI7xspl%2FlXQbB48Uh%2BWsMsXbIUeJSBTQuUvJI0UerTVFcqOccQ8jFaH1hws3PcKB57S%2BuLz0smvIdSl4tXb%2B1sCG9LD%2BdXxa4i7AO%2FFVzUEFLyARb029gqFaEFKhm8P2%2FFbVUMQ3yodCKPaCO085qSZfbGIR1p683zO3J%2FPfYR76arbctXK%2BkvI%2F53Fu%2BX7%2FjAaOz3y91kzs0CJy0siNuYPoTfPL%2FKO51YxkLesF5Hkc1Kf9tE1q%7Ctkp%3ABFBM2tmVouxg
14,"Apple iPhone SE (2020), Fully Unlocked | 64 GB, Black, 4.7 in | Very Good",S/. 616.37,https://www.ebay.com/itm/363928574562?epid=13039001065&hash=item54bbd55a62:g:KVEAAOSwD1hi-S4p&amdata=enc%3AAQAHAAAA4IZrtx0pSLWhM2dWAbvQdvXekWsT%2F4QcXWG6BK2FO814cDjDSgSfpQ7p%2Fn34pBQFc35NPqKMbKKN1vObNOvDXH4D%2BBScP11z8OMf7ZmUl%2Fm22wwED9burU9xaVW5z7BgZFGCeP0cHP%2Fi50WK4%2BrQh3dEAAgoGxNo5buMpVKBcZwxSU1j04%2FIpm%2FhQ18zZgifE0fLOn55tj5UAON%2FGoK0F%2FSohclM8KXhUw%2FEDyG8TuByULF9kZ9ST65pKHWeixzeLuktSXGgce1B%2FJSxTeKzyaHUkQ%2FccUr2zifeAkawfX8K%7Ctkp%3ABFBM2tmVouxg
15,Apple iPhone 13 Pro 256GB Alpine Green Unlocked - Excellent Condition,S/. 3 628.17,https://www.ebay.com/itm/275335822687?epid=9052769077&hash=item401b4b3d5f:g:afYAAOSwnWtimRY8&amdata=enc%3AAQAHAAAA4Klj%2Fw3MHzNkzhtrLBygRVczJMv%2FKeqe1c4JcvUtnVnNkG%2FAxj%2Bv%2F3vMsGBVdUu53yrY8HsvlRLuNkzpHH4hC1StZBHJBGWtp1etW7mrbfwbvIKv1GEm0yDJAMueEItx0Qm2kat9NxSmOa3kLV6TRJEakjeYszwMEy4ECtYX7x6pt5bPN%2Bmjro3%2Blln%2FT2%2BeXECov7wOaKJipQ2iFIoQDG%2FNQC7uypYKET%2Fe13BfU554%2BPB%2BXay5Rmh9zF5SMXevChkFbW8Bc%2FYVEWsuMNwefiipdUkMIwKXZTdCn8tmSRmm%7Ctkp%3ABk9SR9zZlaLsYA
16,new apple iphone 13 128gb unlocked,S/. 2 262.75,https://www.ebay.com/itm/155171231932?epid=8052775912&hash=item2420ed18bc:g:PucAAOSwoJNjGnft&amdata=enc%3AAQAHAAAAkNbmGUM2fSCHZYXE0U6B3jPhTa2SD6JUwsRywXZLRA%2BklnI%2B0YlUK5Anou1cT19YwM%2Fk0PXlbocjTCrdTdaRVl7uLiukC3wcJrwv8D%2BXmVLKHW1NBDWlOsnFwYvPYQR6d0TPQFiHacE3OAol7Au2w%2B%2Bx9yDohjTmNHqwdXkY1lC7O0c5Azi5yFAODVmyGnZZcQ%3D%3D%7Ctkp%3ABk9SR9zZlaLsYA
17,"ANUNCIO NUEVOApple iPhone 13 Pro 128GB Sierra Blue (Unlocked) Grade A+ ""eBay Excellent""",S/. 3 384.04,https://www.ebay.com/itm/255737203487?epid=28049285691&hash=item3b8b200b1f:g:Tr8AAOSwdiBhQhsV&amdata=enc%3AAQAHAAAAoEqcrc3gkoK2x82UpB3qOpT%2FPeelFK7aTd8cq6iSilR0EfxvMY7Gpk%2F8T3rBeDOXuz%2BjH4OMh0e79XqW0WFxPoqT4SehQ4yEQJtHdFRx7gqgtsa%2BJFrusSFG6r4v%2Fl29hSmWC8hns%2FIQ77bN6cwVvl9RUFxYmnF5Tj0ED%2FIxCFcm%2Fc2vq3%2BHBauOLcJTC89kWR6pcrWfCYkWCw3WYoFV9SU%3D%7Ctkp%3ABk9SR9zZlaLsYA
18,Apple iPhone 13 - 128GB - Pink (T-Mobile),S/. 2 106.70,https://www.ebay.com/itm/265887233784?epid=10049288310&hash=item3de81d36f8:g:HpsAAOSwRQxhQhsV&amdata=enc%3AAQAHAAAAkGwew7bAbaVN%2BFvbNNI2qqgK4nv%2BLr8ssWykBWY7OyNEpJi7c3Xlk2p6EvWl5N%2FCJXywFDmW0v7KeP8%2F%2BxAAdFAn46rEhshLLyiM2Wp3gxj48GKNpYf%2FQ%2BVAFpZpOLaBTP%2BlRR0YxkbvZM1zX4VL0GjuQKNYcexv6%2BM0EKgM1243NgzfPmscZBVO3vPH0gSpMw%3D%3D%7Ctkp%3ABk9SR9zZlaLsYA
19,ANUNCIO NUEVOApple iPhone 13 Pro - 512GB - Graphite Grey ( Unlocked ) -Near Perfect Condition,S/. 3 295.03,https://www.ebay.com/itm/115534504591?epid=19049287678&hash=item1ae664a28f:g:fCQAAOSwI25jKpDO&amdata=enc%3AAQAHAAAA4J8tQIFOFH5qSkDNkeXqFV5SajN3%2FlUKfVMjjZ%2FNDods30n6TuCzEBuvGCHYC%2F9lzijKEtWsnxigEqY3g4Tc8Nt4bWM7S0LDRrYZrarV1koxGzr3Vzbz3r9l94hg8%2FGao1k61cBVS6rMncefXDd7YruhPXcbag9UtzMSJGF0pUAyYPyQhaM%2FhR9W%2BbRIywEWSvfZCLgsLZ6wv6s1%2FOasn0wehLVayu8kux9VY2Il3dV5MuRGHaT5w13%2B7XjyRTr87VgIoahXLAF5Ik81sTyD7AmvC3BA4Jig4lJKCoc6ZFc4%7Ctkp%3ABk9SR9zZlaLsYA
20,Apple iPhone 13 - 128GB - Blue (T-Mobile) A2482 + One Year Apple Warranty.,S/. 2 453.92,https://www.ebay.com/itm/225171372082?epid=9049279784&hash=item346d427832:g:8BwAAOSwndNi3awl&amdata=enc%3AAQAHAAAAoOfS%2F53zikH0PVh4e9xso0wTd%2BHi0Y6oQEWG1AI1EwGY9lI6YYLibfUxQcna6I4FfVpbRBcMmL5z2r1rxkt0mfRnLmvetE%2F9p%2FhKhSUAbcydUpp38t19OT59fkFkR%2BGU9Ans29pFOFGEwHkpsJe4H22MhZUyVOMcS7FI01PlHjEoCMYIF3yGgfWJkNjgG%2FxN10zP6YhsgmPAWikD40nQKA8%3D%7Ctkp%3ABk9SR9zZlaLsYA
21,Apple iPhone 13 (PRODUCT)RED - 128GB - (Unlocked) Sealed Brand new in the Box.,S/. 3 067.94,https://www.ebay.com/itm/225164877242?epid=2320328669&hash=item346cdf5dba:g:HMwAAOSw2vpjI32Q&amdata=enc%3AAQAHAAAAoARVR4JqZTJazbdZL0FNp6S8BbQs4HZJwIJT5wut4weA9PyJyEA%2FDIyOuY3kECZZeYwzV7NozNruPtn8FXJz02E6napYIg5vxyJY%2BVrhuI3AvfxZeci99DxbqiBOFtgvub4192Bx2OVKXO9LKRrULAGzcsGrLxnRBJffJvxXLPPrf%2FGB4ClP52jVm7p9RtoDjAAqWAzaDPPcc1IG5h%2FI53M%3D%7Ctkp%3ABk9SR9zZlaLsYA
22,Apple iPhone 13 Pro Max - 256GB - Sierrablau (Ohne Simlock) Fast Neu,S/. 3 938.14,https://www.ebay.com/itm/354289734733?epid=28049285610&hash=item527d50544d:g:5qsAAOSwA~phQhsV&amdata=enc%3AAQAHAAAAoNSJP5zJsEFpSA0GY88rLFL%2BmFTxJkY7JZuoIvxJqcOhcG%2FdvN9Twbs8O5ljNPK22bAWNBKOYRl71hgLbH5VUNlhzU9Qq9hnO402Intxf9yRpo%2FVvvS%2BYTbIXT59J7TsJiQq2d1C5ELM%2FTnCp9FRjsWRdKwbUrl7UVuJR%2FJJaxa3VUXikxd8oaOby5HUnRKz88hWco9z%2FFeMZVtrKJB6tqo%3D%7Ctkp%3ABk9SR9zZlaLsYA
23,ANUNCIO NUEVONew Apple iPhone 13 Pro Max - 128GB - Sierra Blue (T-Mobile) - One Year Warranty,S/. 3 507.27,https://www.ebay.com/itm/225172589808?epid=14049280195&hash=item346d550cf0:g:muAAAOSw63BjAS97&amdata=enc%3AAQAHAAAAoL391CncYSkQBAvDs2Ux3JcvmM5D2YTFARTeBfVIpg4rpGawT0msP%2Fg%2BtQg00J2HqOFn1dKhhcg2%2BNFvqE9anMb%2BxmpWjoQ1%2FZ7sC0NQWmO6fIDBw6mH32Denah2BWpoAOvkTlHuQIAqwlK71%2FAvhOomKy5MmaWKPC9d1z2DipwDTl7ZVQoKg6QaBCsOR5RfPJ%2BmZ9fc1ofnRhjGoITKVRI%3D%7Ctkp%3ABk9SR9zZlaLsYA
24,Apple iPhone 13 Pro Max - 1TB - Silver (Unlocked),S/. 3 628.21,https://www.ebay.com/itm/155170657051?epid=24049281126&hash=item2420e4531b:g:yC8AAOSwtbtjFoMH&amdata=enc%3AAQAHAAAAoGqBsdZlZ0bSUBzoB76h9vWQdTkAEPo45QaUyilfATqtvzhnFd4Y12BRAsF9x6hoIYIedbcGxc%2B5DDonQo%2Biori8mmWrIvQfdFie14mi8gGm3t16Ubtat9Xue12fmtELbHFGy5nAFoekbztOudvezAO%2FueTJYM6HpjUhkgEc1VcQctajdmbcH1dD1uJPm8bZ05A6ht0vKwm65j1X242%2B6NQ%3D%7Ctkp%3ABk9SR9zZlaLsYA
25,Apple iPhone 13 | 128GB Blue | Factory Unlocked | Excellent,S/. 2 769.88,https://www.ebay.com/itm/265851932451?epid=18049286543&hash=item3de6028f23:g:2xYAAOSwb7ZjCRZr&amdata=enc%3AAQAHAAAAoJG02rrlaCYuVTlo0F%2FXggvncPGZDfVsBm6Te%2Flqi6AQ6zERqf%2BB0lmKQV23FV5cPCO4l7a7xg4%2Bsx%2B9Slsdgx%2BZpDlEL1oXTOKMJTGuidSitugp4uup2AmtY8f6Wx3hdKM%2BJOI4nmqnG9OxOL9RJCpppfAPwinK3yZS1JCNmSAV1VFqy47I57fMK6o4HDunVpsMj7UpkLGvQshzzdgd4kM%3D%7Ctkp%3ABk9SR9zZlaLsYA
26,Newly Sealed Apple iPhone 13 - 128GB - Green (T-Mobile/Sprint),S/. 1 950.65,https://www.ebay.com/itm/225169135170?epid=2323820928&hash=item346d205642:g:SRYAAOSw5mdjJXaN&amdata=enc%3AAQAHAAAAoBkSnrzW4j0qsfBdzzseHHHH1rjoZjFVmFWp6ePDzlvfc1K19GDmGV3IyJtAx6Kw%2B1DyonXdCBli1TRA9O97JF3PvbYMl9TQDA%2FApBBHTK6Ff%2F%2FM9T6w0wrLNlkcwzSAQ89RCU9XuA3kCxW6Mk15Pt94mni2YP3a0t7X03PgXVv70x2JUioA58izZ0NDlKie0CkY6ZhadCxVFt3U3IkITwU%3D%7Ctkp%3ABk9SR9zZlaLsYA
27,Apple iPhone 13 Mini 128/256/512GB ATT Sprint TMobile Unlocked Verizon Very Good,S/. 2 145.67 a S/. 2 847.91,https://www.ebay.com/itm/294477174757?epid=3049291486&hash=item44903517e5:g:BGYAAOSwZzBijQRN&amdata=enc%3AAQAHAAAA4HSDTbdUH3B8ytxI1vm6NB1n4dIOlHU5WcU9atWnmc%2FRGbm9yOv4U5pi%2BQSZ5Laj%2BoPy1YjzULLXa7C4KB2FmOftcbJIoVIQj2vIfhrHA0vz60jg%2F%2BSdlDHEp783wks9QW46U5OWR84mRHUhtpaFZEh0hdwawRgsb6OWPEhHNzEDryoHaVdOPhCFeZWd%2FIE7pdqoDtyml3jaYiMbtMKnH1un8JG6w737ejZuwD2N2uLj2JmT4dEwBqyJ2XCJihRRNXcPD2T1Zw5c4PEzBwDiaNp%2FiqM2EX1GSklL9kq4LYq%2B%7Ctkp%3ABk9SR9zZlaLsYA
28,Full Cover TEMPERED Glass For iPhone 11 12 13 PRO XS MAX XR 7 8 Screen Protector,S/. 26.67,https://www.ebay.com/itm/185270042866?hash=item2b22f480f2:g:ZDgAAOSwLEth8GLy&amdata=enc%3AAQAHAAAA4PIpA7LHjNNcFWml%2FfZCQgEsWRaxisLjaZcQPq4j7u%2F7lG%2BeM2fEyHVBNpRcsOlheZJu33fOilpCLXMUvFY7%2B89xwqhEBEpmiP4hJQ8NIoOIGwhA5p%2F5hL%2BiKyaBU6SKuU7wWYnUw0CpgGRUceQTjenfKi7cdM0mHUCqW1exISQCnHBYPULkar0TH2T%2FTnaW9WsCLsTbDm5nonGVXxwLbxcS1vXsCnH7rbboIreVScjtBw4eoy2aUAuTFnBuiuaIfShulnZfITWhnu%2B4EOHfjH487QYSqr6Az2TYlx1xeUgP%7Ctkp%3ABFBM3NmVouxg
29,Apple iPhone 13 Mini - 128/256/512GB - Unlocked Verizon - Excellent Condition,S/. 2 418.77 a S/. 2 886.92,https://www.ebay.com/itm/294908799627?epid=5049289969&hash=item44a9ef2a8b:g:1i4AAOSwtO1iTfBh&amdata=enc%3AAQAHAAAA4K8Prvc85pEAwWKiZaFcoFjdMwXY7JNlQKZkqM674c6j6L4MqK%2FYstC68XifykSH35P%2FuaZ5fvLsUu0BH%2By5u7GFmBVNkDlO2uBkveSt067ExDpm0nAJD8YKKo5Bhq40%2BUWjDcTn4c%2Fj0%2BidWEO%2FA8p%2F%2FQteL4PY7vUqAJ5UQ%2B8AC5JkbF0ADGyavCqmt4dI8Y%2FrtgS8DRCxt%2BCe%2BA3XYRoi2aVTK65nsqbloYIeHqxsooTU6kSKF7KZ58Yng1oZs4Mc4FFHQcevAmbX6jePAdu4Z98YoFS5hXICOlApGeJS%7Ctkp%3ABFBM3NmVouxg
30,Shockproof FRONT + BACK Case Cover For iPhone 14 11 12 13 PRO MAX X XR XS 7 8,S/. 26.67 a S/. 31.12,https://www.ebay.com/itm/185579387395?hash=item2b3564ba03:g:1O8AAOSw3a9jIRrW&amdata=enc%3AAQAHAAAA4L1IHh87xwOK68xEIzKlPo9ZDBFecK7OoDSWLclnLU5qhiOZ2eEfrEi8HP%2F9lF%2FpRFR4oQs4%2BGbvIcn7CvRKbrUaKbKbGQzwOe7IHkk8TRmSOCXMfj%2FbX3RlGe%2BHDGzrK3WGUsSeHfDV3T6%2Fd1kfwJX8ZK4nve7Y8MOqPfXWbEv8hF7CtYX7QJx72A5IEsimsjSPMjdKS8icH3xV9NnpHWpZegH%2FvjcKh1H5T2Vn6rht9iF%2FwENClxNMyOOJh0ePvmGXbUrR2Xz%2F8iw7VNHteFHuhLRAPuFw2kImcGAEPWbA%7Ctkp%3ABFBM3NmVouxg
31,Apple iPhone 13 Pro 256GB Graphite Unlocked Excellent Condition,S/. 3 628.17,https://www.ebay.com/itm/284716365606?epid=8049288657&hash=item424a6af726:g:XEQAAOSwjdliOOlk&amdata=enc%3AAQAHAAAA4FjaYltaxw0JKp8YcdYreV7PAQHit6wFDAv34gTsUtsPKkN%2Fvq3N4tj4Pzfl%2B78ge9E%2BDN%2BPWTxsVqkX6IXOJSRpQW9nBKDkUmyP%2B6Nkd5wYN%2B0%2FfiuRNm%2Fivk%2BiDScqP9ZvfWnXO5%2B0WS%2BZRMGQ7%2FyO0UwSTCMYgaFyOCcQ8s1Zd1tjx4vHdD8pTcX34LN4PcnSsllZ2h3KucVJepsLie83VFTFBy488NMxiv3QUECCCX%2Br5teSpgwskxFiLYq1ADYIhvjEgjmLk7QwtWqjIGAhOfxlIZMmHW6uuBJjU9aP%7Ctkp%3ABFBM3NmVouxg
32,iPhone 13 - Metro - 128GB - Black - Excellent,S/. 1 989.66,https://www.ebay.com/itm/275435928301?epid=4056419506&hash=item402142baed:g:DjsAAOSwnwBjCO2Q&amdata=enc%3AAQAHAAAAoPh%2FJcg8kGnFH7%2F6Z5zzKtSJ2AvlnrHbxKdJP0kNsiCkBa%2BxqpQkeKnupQs1UMTfiNSMnPvBuKLQtQzcoL%2FLOQTmd6DCF6yjF4qSj8u5af3JkZs%2FCzRCzLPrcbE4xPAYeSg%2BGmPuaT5%2B%2FO4AY3jd2zhx88QmSADnJ9X1UI5jwB2hO7bp6RoZJWH2KCOiVEU64y6EXXX9skr8Iq6eu53S5wM%3D%7Ctkp%3ABk9SR9zZlaLsYA
33,Apple iPhone 13 Mini 128GB Midnight Unlocked Excellent Condition,S/. 2 418.77,https://www.ebay.com/itm/294877290374?epid=5049289969&hash=item44a80e5f86:g:ElkAAOSwWRJiONoH&amdata=enc%3AAQAHAAAA4K0hRbx0CLzpytSFkmdd8LV5NgRMawjXP%2BNc1TOPwIr4PEzSX6yepfebx4HZkI85Mbzc%2BjgX1Gg67GRkJeDOKeyiLXfXOm7iE0reBcQHh9vPTmiMb00lhI06Sb5zf%2BFeZS1F6wEsTYx7aIiw%2BFrm2yrVHJ9t3RY4JDsXc1HTVbV3otjd83%2BtMyWYzNRLn7UkNLppPR2IY50sgm45Zvz6%2FWyB5TqVUbJl4zycSSqFf70QKMx5y3Tm4wDyLm1feApBkKEcUzxuDhW1pkvX5O67dZ6jXzxn%2BIRR4HMRnYDVQbt2%7Ctkp%3ABk9SR9zZlaLsYA
