,Titulos,Enlaces,Precio
19,Televisor Jvc 32 Led Smart Tv Lt-32kb208  Negro,https://articulo.mercadolibre.com.pe/MPE-602918177-televisor-jvc-32-led-smart-tv-lt-32kb208-negro-_JM#position=20&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,899
20,Tv Led A4h 32 Hd Smart Hisense,https://articulo.mercadolibre.com.pe/MPE-614527242-tv-led-a4h-32-hd-smart-hisense-_JM#position=21&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,699
21,Televisor Winia Smart Tv 32 L32v750basw  Negro,https://articulo.mercadolibre.com.pe/MPE-606825230-televisor-winia-smart-tv-32-l32v750basw-negro-_JM#position=22&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,899
22,Televisor LG Hd 32  Smart Thinq Ai 32lq630bpsa (2022),https://articulo.mercadolibre.com.pe/MPE-614604378-televisor-lg-hd-32-smart-thinq-ai-32lq630bpsa-2022-_JM#position=23&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.039
23,Televisor Aoc 32' Led Smart Tv Hd Roku 32s5195,https://articulo.mercadolibre.com.pe/MPE-610159271-televisor-aoc-32-led-smart-tv-hd-roku-32s5195-_JM#position=24&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,579
24,Televisor Led 32 Hd Android Smart Tv Hisense 32e5610,https://articulo.mercadolibre.com.pe/MPE-616242144-televisor-led-32-hd-android-smart-tv-hisense-32e5610-_JM#position=25&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,649
25,Televisor LG Pantalla Plana,https://articulo.mercadolibre.com.pe/MPE-433356824-televisor-lg-pantalla-plana-_JM#position=26&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,250
26,Sony Tv Led Smart Con Wi-fi 32w605d,https://articulo.mercadolibre.com.pe/MPE-610380489-sony-tv-led-smart-con-wi-fi-32w605d-_JM#position=27&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,899
27,Televisor LG 32 Smart Tv 32lm637bpsb  Negro,https://articulo.mercadolibre.com.pe/MPE-615416503-televisor-lg-32-smart-tv-32lm637bpsb-negro-_JM#position=28&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.159
28,LG 32 Tv 2019 Hdr10 Pro Control Magic Thinq Ia Bluetooth,https://articulo.mercadolibre.com.pe/MPE-438204060-lg-32-tv-2019-hdr10-pro-control-magic-thinq-ia-bluetooth-_JM#position=29&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.199
29,"Rack Televisor De Pared ,soporte De Pared Para Tv , Tv37",https://articulo.mercadolibre.com.pe/MPE-419845113-rack-televisor-de-pared-soporte-de-pared-para-tv-tv37-_JM#position=30&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,158
30,Samsung Qn32q50rafxza Flat 32  Qled 4k Serie Smart Tv 32q50,https://articulo.mercadolibre.com.pe/MPE-442275057-samsung-qn32q50rafxza-flat-32-qled-4k-serie-smart-tv-32q50-_JM#position=31&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.500
31,Tv Led Samsung 65 Smart Ultra 4k Un65au7090g  -  Negro ,https://articulo.mercadolibre.com.pe/MPE-613423445-tv-led-samsung-65-smart-ultra-4k-un65au7090g-negro-_JM#position=32&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,2.339
32,Televisor Imperial Smart Tv 32 32ln4100s  Negro,https://articulo.mercadolibre.com.pe/MPE-606720335-televisor-imperial-smart-tv-32-32ln4100s-negro-_JM#position=33&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,749
33,Aiwa 32  Android Tv Hd Smart,https://articulo.mercadolibre.com.pe/MPE-614598183-aiwa-32-android-tv-hd-smart-_JM#position=34&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,649
34,Miray Tv 32' Led Señal Digital Hd,https://articulo.mercadolibre.com.pe/MPE-419275499-miray-tv-32-led-senal-digital-hd-_JM#position=35&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,550
35,Smart Tv 32  Dled Hd Hx32ao6k Wolff Nuevo,https://articulo.mercadolibre.com.pe/MPE-615247891-smart-tv-32-dled-hd-hx32ao6k-wolff-nuevo-_JM#position=36&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,699
36,Androidtv 32  Jvc,https://articulo.mercadolibre.com.pe/MPE-441946182-androidtv-32-jvc-_JM#position=37&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,900
37,Televisor Led Bgh 32  Hd Smart Tv B3219k5ip Nuevo-garantía ,https://articulo.mercadolibre.com.pe/MPE-608382133-televisor-led-bgh-32-hd-smart-tv-b3219k5ip-nuevo-garantia-_JM#position=38&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,797
38,Tv Smart De 32''  S/digital + Bluetooth,https://articulo.mercadolibre.com.pe/MPE-614168556-tv-smart-de-32-sdigital-bluetooth-_JM#position=39&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,599
39,Nuevo Samsung Led Tv 32'',https://articulo.mercadolibre.com.pe/MPE-440606477-nuevo-samsung-led-tv-32-_JM#position=40&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,1.055
40,Tv Lcd 32  Continental,https://articulo.mercadolibre.com.pe/MPE-439591407-tv-lcd-32-continental-_JM#position=41&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,350
41,Televisor Smart Tv 32 4k,https://articulo.mercadolibre.com.pe/MPE-600104663-televisor-smart-tv-32-4k-_JM#position=42&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,899
42,Televisor Smart Recco 32  Android Hd Rled-l32d1200a ,https://articulo.mercadolibre.com.pe/MPE-601365658-televisor-smart-recco-32-android-hd-rled-l32d1200a-_JM#position=43&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,849
43,Tv 32  Haier Led Hd Smart L981.576.524dg,https://articulo.mercadolibre.com.pe/MPE-602131309-tv-32-haier-led-hd-smart-l981576524dg-_JM#position=44&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,700
44,Televisor Led Bgh 32  Hd Smart Tv B3219k5ip Nuevo +rack ,https://articulo.mercadolibre.com.pe/MPE-608418373-televisor-led-bgh-32-hd-smart-tv-b3219k5ip-nuevo-rack-_JM#position=45&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,829
45,Tv Smart LG 32 ,https://articulo.mercadolibre.com.pe/MPE-447906352-tv-smart-lg-32-_JM#position=46&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,980
46,Televisor Led Hd Advance De 32 Pulgadas De Oferta Garantia,https://articulo.mercadolibre.com.pe/MPE-430233766-televisor-led-hd-advance-de-32-pulgadas-de-oferta-garantia-_JM#position=47&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,750
47,Televisor Winia L32v750basw Led Smart Tv  Hd 32  ,https://articulo.mercadolibre.com.pe/MPE-615014495-televisor-winia-l32v750basw-led-smart-tv-hd-32-_JM#position=48&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,668
48,Televisor Hyundai 32 Led Digital Hd Smart Android Tv Hyled32,https://articulo.mercadolibre.com.pe/MPE-615306294-televisor-hyundai-32-led-digital-hd-smart-android-tv-hyled32-_JM#position=49&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,620
49,Motorola Smart Tv Hd 32 Pulgadas + Tiendas Fisicas,https://articulo.mercadolibre.com.pe/MPE-614363948-motorola-smart-tv-hd-32-pulgadas-tiendas-fisicas-_JM#position=50&search_layout=stack&type=item&tracking_id=9aa9e1ec-b7f7-4896-ab0e-719563f640be,649
